030539,"Other Fish Fillets Dried, Salted Or In Brine, But Not Smoked"
030541,"Smoked Salmon (Atlantic, Pacific Or Danube) - Including Fillets"
030542,Smoked Herring - Including Fillets
030543,Trout
030544,"Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads"
030549,Other Smoked Fish Nes - Including Fillets
030551,Dried Cod - Not Smoked
030559,Dried Fish (Other Than Cod) - Not Smoked
030561,"Herring, Salted Or In Brine - Not Dried Or Smoked"
030562,"Cod, Salted Or In Brine - Not Dried Or Smoked"
030563,"Anchovies, Salted Or In Brine - Not Dried Or Smoked"
030569,Other Fish Nes - Salted Or In Brine - Not Dried Or Smoked
030571,"Fish Fins, Heads, Tails, Maws And Other Edible Fish Offal : Shark Fins"
030572,"Fish Fins, Heads, Tails, Maws And Other Edible Fish Offal : Fish Heads, Tails And Maws"
030579,"Fish Fins, Heads, Tails, Maws And Other Edible Fish Offal : Other"
030611,Rock Lobster And Other Sea Crawfish - Frozen
030612,"Lobsters, (Homarus Spp) - Frozen"
030614,Crabs - Frozen
030615,Norway Lobsters
030616,Cold-Water Shrimps And Prawns
030617,Other Shrimps And Prawns
030619,Crustaceans Nes - Frozen
030621,Rock Lobster And Other Sea Crawfish  - Not Frozen
030622,Other Lobsters Nes - Not Frozen
030624,Crabs - Not Frozen
030626,Cold-Water Shrimps And Prawns
030627,Other Shrimps And Prawns
030629,Crustaceans Nes - Not Frozen
030711,"Oysters: Live, Fresh Or Chilled"
030719,Oysters: Other
030721,"Scallops: Live, Fresh Or Chilled"
030729,"Scallops - Frozen, Salted, Dried Or In Brine"
030731,"Mussels - Live, Fresh Or Chilled"
030739,"Mussels - Frozen, Salted, Dried Or In Brine"
030741,"Squid - Live, Fresh Or Chilled"
030749,"Cuttle Fish - Frozen, Salted, Dried Or In Brine"
030751,"Octopus - Live, Fresh Or Chilled"
030759,"Octopus - Frozen, Dried, Salted Or In Brine"
030760,Snails (Other Than Sea Snails)
030771,"Clams, Cocles And Ark Shells Live, Fresh Or Chilled"
030779,"Other: Clams, Cocles And Ark Shells"
030781,"Abalone: Live, Fresh Or Chilled"
030789,Other: Abalone
030791,"Other, Including Flours, Meals And Pellets, Fit For Human Consumption: Live, Fresh Or Chilled"
030799,"Other: Other, Including Flours, Meals And Pellets, Fit For Human Consumption"
030811,"Sea Cucumbers: Live, Fresh Or Chilled"
030819,Other: Sea Cucumbers
030821,"Sea Urchins: Live, Fresh Or Chilled"
030829,Other: Sea Urchins
030830,Jellyfish
030890,Other: Jellyfish
040110,"Milk/Cream, Not Concentrated Or Sweetened (<2%  Fat)"
040120,"Milk/Cream, Not Concentrated Or Sweetened (2-6% Fat)"
040140,"Of A Fat Content, By Weight, Exceeding 6% But Not Exceeding 10%"
040150,"Of A Fat Content, By Weight, Exceeding 10%"
040210,Milk/Cream Powder  (<1.6% Fat)
040221,Milk/Cream Powder Unsweetened  (>1.5% Fat)
040229,Milk/Cream Powder Sweetened  (>1.5% Fat)
040291,Milk And Cream Unsweetened - Concentrated - Not In Powder
040299,Milk And Cream Sweetened - Concentrated - Not In Powder
040310,Yogurt
040390,"Buttermilk, Curdled Milk And Cream, Kephir And Other Fermented Milk"
040410,Whey
040490,Products Consisting Of Natural Milk Constituents
040510,Butter
040520,Dairy Spreads
040590,Other Fats And Oils Derived From Milk
040610,Fresh Cheese (Including Whey Cheese)  And Curd
040620,Grated Or Powdered Cheese Of All Kinds
040630,"Processed Cheese, Not Grated Or Powdered"
040640,"Cheese,Blue-Veined & O Cheese Ctng Veins,  Produced By Penicillium Roqueforti"
040690,Cheese Nes
040711,Fertilised Eggs For Incubation Of Fowls Of The Species Gallus Domesticus
040719,Other: Fertilised Eggs For Incubation
040721,Other Fresh Eggs Of Fowls Of The Species Gallus Domesticus
040729,Other: Other Fresh Eggs
040790,"Birds' Eggs, In Shell, Fresh, Preserved Or Cooked - Other"
040811,Egg Yolks - Dried
040819,Egg Yolks - Except Dried
040891,Bird Eggs Not In Shell - Dried
040899,Bird Eggs Not In Shell - Except Dried
040900,"Honey, Natural"
041000,Edible Products Of Animal Origin Nes
050100,Human Hair And Waste Of Human Hair
050210,"Bristles, Hair And Waste Of Pigs, Hogs Or Boars"
050290,Hair And Waste Of Badger And Other Brush-Making Hair
050400,"Guts, Bladders And Stomachs Of Animals (Other Than Fish)"
050510,Feathers Used For Stuffing And Down
050590,"Skin, Feathers And Other Parts Of Birds Nes"
050610,Ossein And Bones Treated With Acid
050690,Bones And Horn-Cores Nes
050710,Ivory And Ivory Powder Or Waste
050790,"Whalebone, Horns, Hooves, Tortoise-Shell, Antlers, Nails, Claws And Beaks"
050800,"Coral, Molluscs/Crustaceans/Echinoderm Shells And Cuttle Bone"
051000,"Glands, Bile And Animal Products Used To Prepare Pharmaceutical Products"
051110,Bovine Semen
051191,"Products Of Fish, Crustaceans, Molluscs And Other Aquatic Invertebrates"
051199,"Animal Products, Nes & Dead Animals Of  Chapter 1, Unfit For Human Consumption"
060110,"Bulbs, Tubers, Tuberous Roots, Corms, Crowns And Rhizom  - Dormant"
060120,"Bulbs, Tubers, Tuberous Roots, Corms, Crowns And Rhizom - In Growth/Flower"
060210,Unrooted Cuttings And Slips
060220,"Edible Fruit Or Nut Trees, Shrubs And Bushes (Grafted Or Not)"
060230,Rhododendrons And Azaleas (Grafted Or Not)
060240,Roses (Grafted Or Not)
060290,"Mushroom Spawn And Other Live Plants (Including Roots, Cuttings And Slips)"
060311,"Cut Roses, & Rose Buds, For Bouquets  Or Ornamental Purposes, Fresh"
060312,"Cut Carnations And Buds, For Bouquets  Or Ornamental Purposes, Fresh"
060313,"Cut Orchids And Buds, For Bouquets Or  Ornamental Purposes, Fresh"
